expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
be scared of,be scared of,phrase,が怖こわい,が怖こわい,junior_high,1,4,4;3,熟語,4:386;3:1108,2
call back,call back,phrase,折おり返かえし電話でんわする,折おり返かえし電話でんわする,junior_high,1,4,4;3,熟語,4:472;3:1166,2
decide to,decide to,phrase,に決きめる,に決きめる,junior_high,1,4,4;3,熟語,4:484;3:1054,2
even so,even so,phrase,それでも,それでも,junior_high,1,4,4;3,熟語,4:714;3:927,2
every minutes,every minutes,phrase,毎分まいふんごとに,毎分まいふんごとに,junior_high,1,4,4;3,熟語,4:511;3:722,2
for example,for example,phrase,例たとえば,例たとえば / 例えば，たとえ… としても,junior_high,1,4,4;3;2,熟語,4:396;3:1049;2:109,3
foreign language,foreign language,phrase,外国語がいこくご,外国語がいこくご,junior_high,1,4,4;3,名詞,4:648;3:1050,2
from now on,from now on,phrase,これから,これから / これからは / これから先も，今後も,junior_high,1,4,4;3;2,熟語,4:718;3:795;2:621,3
from the experience,from the experience,phrase,経験けいけんから,経験けいけんから,junior_high,1,4,4;3,熟語,4:463;3:765,2
from ～ to ～,from ~ to ~,phrase,～から～まで,～から～まで,junior_high,1,4,4;3,熟語,4:722;3:1132,2
get along with,get along with,phrase,うまくやる,うまくやる / とうまくやっていく,junior_high,1,4,4;3;pre2;2,熟語,4:574;3:949;pre2:111;2:2187,4
get tired,get tired,phrase,疲つかれる,疲つかれる,junior_high,1,4,4;3,熟語,4:719;3:1096,2
go abroad,go abroad,phrase,外国がいこくに行いく,外国がいこくに行いく,junior_high,1,4,4;3,熟語,4:412;3:658,2
go to,go to,phrase,へ行いく,へ行いく,junior_high,1,4,4;3,熟語,4:624;3:1157,2
in the future,in the future,phrase,将来しょうらいに,将来しょうらいに,junior_high,1,4,4;3,熟語,4:629;3:356,2
keep in touch,keep in touch,phrase,連絡れんらくを取とり合あう,連絡れんらくを取とり合あう,junior_high,1,4,4;3,熟語,4:619;3:856,2
kind to,kind to,phrase,に対たいして親切しんせつな,に対たいして親切しんせつな,junior_high,1,4,4;3,熟語,4:505;3:1205,2
leave for,leave for,phrase,へ出でかける,へ出でかける,junior_high,1,4,4;3,熟語,4:614;3:1176,2
Let us(Let's),let us(let's),phrase,～しましょう,～しましょう,junior_high,1,4,4;3,熟語,4:535;3:767,2
live abroad,live abroad,phrase,海外かいがいで生活せいかつする,海外かいがいで生活せいかつする,junior_high,1,4,4;3,熟語,4:717;3:852,2
live in,live in,phrase,に住すむ,に住すむ,junior_high,1,4,4,,4:514,1
look after,look after,phrase,の面倒めんどうを見みる,の面倒めんどうを見みる,junior_high,1,4,4;3,熟語,4:481;3:1169,2
make own bed,make own bed,phrase,ベッドを整ととのえる,ベッドを整ととのえる,junior_high,1,4,4,,4:434,1
most of,most of,phrase,のほとんど,のほとんど,junior_high,1,4,4;3,熟語,4:406;3:815,2
on the wall,on the wall,phrase,壁かべに,壁かべに,junior_high,1,4,4;3,熟語,4:653;3:917,2
one day,one day,phrase,ある日ひ,ある日ひ / ある日，いつか,junior_high,1,4,4;3;pre2;2,熟語,4:436;3:114;pre2:1356;2:289,4
over there,over there,phrase,あそこに,あそこに,junior_high,1,4,4;3,熟語,4:639;3:100,2
search for,search for,phrase,を探索たんさくする,を探索たんさくする / を探索する,junior_high,1,4,4;3;pre2,熟語,4:604;3:965;pre2:25,3
show around,show around,phrase,に見みせて回まわる,に見みせて回まわる,junior_high,1,4,4,,4:428,1
someone in need,someone in need,phrase,助たすけが必要ひつような人ひと,助たすけが必要ひつような人ひと / 助けたすけが必要ひつような人ひと,junior_high,1,4,4;3,熟語,4:550;3:1105,2
stand by,stand by,phrase,そばに立たつ,そばに立たつ,junior_high,1,4,4;3,熟語,4:654;3:745,2
stationery shop,stationery shop,phrase,文房具店ぶんぼうぐてん,文房具店ぶんぼうぐてん,junior_high,1,4,4;3,名詞,4:636;3:962,2
take care of,take care of,phrase,の面倒めんどうを見みる,の面倒めんどうを見みる,junior_high,1,4,4;3,熟語,4:510;3:178,2
take it back,take it back,phrase,取とり戻もどす,取とり戻もどす,junior_high,1,4,4;3,熟語,4:635;3:1180,2
talk about,talk about,phrase,について話はなす,について話はなす,junior_high,1,4,4;3,熟語,4:572;3:304,2
talk to,talk to,phrase,に話はなしかける,に話はなしかける,junior_high,1,4,4;3,熟語,4:395;3:450,2
think of,think of,phrase,思おもい付つく,思おもい付つく,junior_high,1,4,4;3,熟語,4:473;3:391,2
too ～ for,too ~ for,phrase,～すぎる,～すぎる,junior_high,1,4,4;3,熟語,4:502;3:696,2
try hard,try hard,phrase,一生懸命いっしょうけんめいする,一生懸命いっしょうけんめいする,junior_high,1,4,4;3,熟語,4:716;3:1198,2
try on,try on,phrase,試着しちゃくする,試着しちゃくする / 試着する,junior_high,1,4,4;3;pre2;2,熟語,4:547;4:724;3:123;pre2:144;2:2182,5
try to,try to,phrase,しようとする,しようとする / 試ためす,junior_high,1,4,4;3,熟語,4:607;4:725;3:732,3
work for,work for,phrase,のために働はたらく,のために働はたらく,junior_high,1,4,4;3,熟語,4:512;4:726;3:369,3
a kind of,a kind of,phrase,一種いっしゅの,一種いっしゅの,junior_high,2,3,3,熟語,3:595,1
a second,a second,phrase,少すこしの間あいだ,少すこしの間あいだ,junior_high,2,3,3,熟語,3:685,1
according to,according to,phrase,によれば,によれば / によると，との情報によれば / によれば，に基づいて,junior_high,1,3,3;pre2;2,熟語;前置詞,3:884;pre2:267;2:36;2:2167,4
after a while,after a while,phrase,しばらくして,しばらくして,junior_high,2,3,3,熟語,3:1122,1
agree to,agree to,phrase,を承諾しょうだくする,を承諾しょうだくする,junior_high,2,3,3,熟語,3:791,1
agree with,agree with,phrase,に賛成さんせいである,に賛成さんせいである / に賛成である，支持する,junior_high,1,3,3;pre2;2,熟語,3:461;pre2:1415;2:383,3
all day long,all day long,phrase,一日中いちにちじゅう,一日中いちにちじゅう,junior_high,2,3,3,熟語,3:845,1
all over,all over,phrase,の至いたる所ところに,の至いたる所ところに,junior_high,2,3,3,熟語,3:930,1
all the time,all the time,phrase,常つねに,常つねに / いつも，いつでも,junior_high,1,3,3;pre1;1,熟語,3:1000;pre1:1764;1:2250,3
an average of,an average of,phrase,の平均へいきん,の平均へいきん,junior_high,2,3,3,熟語,3:1079,1
as a result of,as a result of,phrase,の結果けっか,の結果けっか,junior_high,2,3,3,熟語,3:673,1
as a whole,as a whole,phrase,全体ぜんたいで,全体ぜんたいで / 全体の，すべてを含む，全般的,junior_high,2,3,3;1,熟語,3:1013;1:1672,2
as soon as possible,as soon as possible,phrase,できるだけ早はやく,できるだけ早はやく,junior_high,2,3,3,熟語,3:1102,1
as usual,as usual,phrase,いつものように,いつものように,junior_high,2,3,3,熟語,3:536,1
as well,as well,phrase,同様どうように,同様どうように / 同様に，その上,junior_high,1,3,3;pre2;2,熟語;副詞,3:1045;pre2:121;2:610,3
ask 人 about,ask 人 about,phrase,人ひとに～について聞きく,人ひとに～について聞きく,junior_high,2,3,3,熟語,3:1150,1
ask 人 for,ask 人 for,phrase,人ひとに求もとめる,人ひとに求もとめる,junior_high,2,3,3,熟語,3:1002,1
at first,at first,phrase,最初さいしょは,最初さいしょは / 最初は，初めに,junior_high,1,3,3;pre2;2,熟語,3:585;pre2:4;2:540,3
at last,at last,phrase,ついに,ついに / ついに，やっと,junior_high,1,3,3;pre2;2,熟語,3:619;pre2:1318;2:234,3
at least,at least,phrase,少すくなくとも,少すくなくとも / 少なくとも，最低限,junior_high,2,3,3;2,熟語,3:1165;2:863,2
at most,at most,phrase,多おおくとも,多おおくとも / 多くとも，せいぜい,junior_high,1,3,3;pre2;2,熟語,3:724;pre2:109;2:447;2:2089,4
at that time,at that time,phrase,あの時ときは,あの時ときは / あの時は，そのとき,junior_high,1,3,3;pre2;2,熟語,3:599;pre2:1349;2:279,3
be about to,be about to,phrase,する直前ちょくぜんである,する直前ちょくぜんである,junior_high,2,3,3,熟語,3:918,1
be afraid of,be afraid of,phrase,を恐おそれる,を恐おそれる,junior_high,2,3,3,熟語,3:347,1
be amazed at,be amazed at,phrase,に驚おどろかされる,に驚おどろかされる,junior_high,2,3,3,熟語,3:1038,1
be aware of,be aware of,phrase,に気づきづいている,に気づきづいている / に気づいている，認識している,junior_high,2,3,3;2,熟語,3:1179;2:685,2
be concerned with,be concerned with,phrase,に関係かんけいしている,に関係かんけいしている / に関係している，関連している,junior_high,1,3,3;pre2;2,熟語,3:941;pre2:1456;2:443,3
be different from,be different from,phrase,とは異ことなる,とは異ことなる,junior_high,2,3,3,熟語,3:435,1
be excited,be excited,phrase,興奮こうふんをする,興奮こうふんをする,junior_high,2,3,3,熟語,3:781,1
be familiar with,be familiar with,phrase,に馴染なじみがある,に馴染なじみがある / に馴染みがある,junior_high,2,3,3;2,熟語,3:1145;2:528,2
