action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,note2,semantic_review_reason
add,142,he,he,pronoun,base,1,彼かれは,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:pronoun,source_refs=5:7;4:205; row_count=2; meaning_ja_all=彼かれは / 彼は,real_meaning_variants
add,157,island,island,noun,base,1,島しま,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3;2。pos判定=label_raw_all,source_refs=5:444;4:103;3:666;2:888; row_count=4; label_raw_all=名詞; meaning_ja_all=島しま / 島，島々,real_meaning_variants
add,164,knee,knee,noun,base,1,ひざ,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;pre2;2。pos判定=label_raw_all,source_refs=5:238;4:565;pre2:681;2:365; row_count=4; label_raw_all=名詞; meaning_ja_all=ひざ / 膝,real_meaning_variants
add,172,like,like,preposition,base,1,好このむ,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:preposition|verb,source_refs=5:115;4:324; row_count=2,multiple_pos_from_v0;possible_wrong_primary_meaning_for_pos
add,174,live,live,verb,base,1,住すむ,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5。pos判定=v0_master_pos:verb|adjective,source_refs=5:174; row_count=1,multiple_pos_from_v0
add,179,make,make,verb,base,1,作つくる、～を～にするする,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3。pos判定=label_raw_all,source_refs=5:184;4:682;3:162; row_count=3; label_raw_all=動詞; meaning_ja_all=作つくる、～を～にするする / 作つくる、～を～にする,real_meaning_variants
add,193,much,much,adjective,base,1,たくさん,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:adverb|adjective,source_refs=5:128;4:568; row_count=2,multiple_pos_from_v0
add,197,name,name,noun,base,1,名前なまえ,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:noun|verb,source_refs=5:113;4:540; row_count=2,multiple_pos_from_v0
add,198,nature,nature,noun,base,1,自然しぜん,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3;pre2;2。pos判定=label_raw_all,source_refs=5:435;4:133;3:488;pre2:988;2:1433; row_count=5; label_raw_all=名詞; meaning_ja_all=自然しぜん / 自然，天然,real_meaning_variants
add,213,one,one,numeral,base,1,一ひとつの,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:numeral,source_refs=5:25;5:83;4:5;4:581; row_count=4; meaning_ja_all=一ひとつの / 1つの / 1,real_meaning_variants
add,221,play,play,noun,base,1,劇げき,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:verb|noun,source_refs=5:171;4:455; row_count=2,multiple_pos_from_v0
add,223,please,please,verb,base,1,喜よろこばせる,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:verb|adjective,source_refs=5:391;4:199; row_count=2,multiple_pos_from_v0
