word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks,master_status,master_levels,master_pos,master_meaning_ja,match_count
be,junior_high,である、になる,,junior_word_list,48;769,existing,junior_high,auxiliary,いる・ある / ある・いる・〜である / 〜ではない・〜にいない / である / 〜であった・いた / 〜であること・〜でいて / 彼は〜です・彼は〜している / どのようですか・調子はどうですか / 私は〜です・私は〜している / ある・いる / それは〜です・それは〜している / 彼女は〜です・彼女は〜している / それは〜です・あれは〜です / 〜がある・〜がいる / 彼らは〜です・彼女らは〜です・それらは〜です / だった・いた / 〜ではなかった・〜にいなかった / 私たちは〜です・私たちは〜している / 何が〜ですか・何ですか / いつですか / どこにありますか・どこですか / 誰が〜ですか / なぜ〜なのですか / あなたは〜です・あなたは〜している,28
beach,junior_high,浜、海辺,,junior_word_list,49,existing,junior_high,noun,砂浜・ビーチ,2
bean,junior_high,豆,,junior_word_list,50,existing,junior_high,noun,豆,2
bear,junior_high,クマ,我慢する,junior_word_list;high_word_list,51;710;441,existing,junior_high,noun,クマ,2
beautiful,junior_high,美しい,,junior_word_list,52,existing,junior_high,adjective,美しい,2
beauty,junior_high,美しさ、美,,junior_word_list,770,existing,junior_high,noun,美・美しさ,2
because,junior_high,だから、なので,,junior_word_list,771;1865,existing,junior_high,conjunction,なぜなら・〜なので,2
become,junior_high,になる,,junior_word_list,53;664;1292,existing,junior_high,verb,〜になる（過去形） / 〜になる（過去分詞） / 〜になる,5
bed,junior_high,ベッド,,junior_word_list,54,existing,junior_high,noun,ベッド,2
beef,junior_high,牛肉,,junior_word_list,706;1293,existing,junior_high,noun,牛肉,2
beer,junior_high,ビール,,junior_word_list,773,existing,junior_high,noun,ビール,2
before,junior_high,の前に,,junior_word_list,55;774;775,existing,junior_high,preposition,〜の前に,2
began,junior_high,始めた,,junior_word_list,776,existing,junior_high,verb,始まる・始める（過去形）,1
begin,junior_high,を始める,,junior_word_list,777;1294,existing,junior_high,verb,始まる・始める（過去形） / 始まる・始める / 始まる・始める（過去分詞）,4
beginning,junior_high,最初,,junior_word_list,1296,existing,high_school,noun,始まり・冒頭,2
behavior,junior_high,ふるまい,振る舞い,junior_word_list;high_word_list,1297;268,existing,high_school,noun,行動・ふるまい,2
behind,junior_high,の後ろに,背後に,junior_word_list;high_word_list,56;73,existing,junior_high,preposition,〜の後ろに,2
believe,junior_high,信じる,,junior_word_list,779;1298,existing,junior_high,verb,信じる,2
belong,junior_high,のものである,に属する,junior_word_list;high_word_list,1299;235,existing,junior_high,verb,所属する,2
below,junior_high,下に，下記の,,junior_word_list,1300,existing,high_school,adverb,下に・以下で,2
beside,junior_high,の側に,横に,junior_word_list;high_word_list,780;55,existing,junior_high,preposition,〜のそばに,2
besides,junior_high,そのうえ，さらに,,junior_word_list,1301,existing,junior_high,adverb,その上・さらに,2
best,junior_high,最も良い,,junior_word_list,57;781,existing,junior_high,adverb;adjective,最もよく・最も上手に / 最もよい,2
better,junior_high,より良い,,junior_word_list,782,existing,junior_high,adverb;adjective,よりよく・より上手に / よりよい,2
between,junior_high,と～の間で,,junior_word_list,783;1884,existing,junior_high,preposition,〜の間に,2
beyond,junior_high,をこえたところに,を超えて,junior_word_list;high_word_list,1302;465,existing,high_school,preposition,〜を越えて・〜の向こうに,2
bicycle,junior_high,自転車,,junior_word_list,59,existing,junior_high,noun,自転車,2
big,junior_high,大きい,,junior_word_list,60,existing,junior_high,adjective,大きい,2
bike,junior_high,自転車,,junior_word_list,61,existing,junior_high,noun,自転車・バイク,2
bill,junior_high,請求書,請求書,junior_word_list;high_word_list,784;250,existing,high_school,noun,請求書・法案・紙幣,2
billion,junior_high,10億,,junior_word_list,1303,existing,junior_high,numeral,10億,2
bird,junior_high,鳥,,junior_word_list,62,existing,junior_high,noun,鳥,2
birthday,junior_high,誕生日,,junior_word_list,63,existing,junior_high,noun,誕生日,2
bit,junior_high,少し,,junior_word_list,1304,existing,junior_high,noun,少し,2
black,junior_high,黒い,,junior_word_list,64,existing,junior_high,adjective,黒い,2
blind,junior_high,目の見えない,,junior_word_list,1921,existing,junior_high,adjective,目の見えない,2
blood,junior_high,血,血,junior_word_list;high_word_list,1305;379,existing,junior_high,noun,血,2
blow,junior_high,吹く,吹く,junior_word_list;high_word_list,1306;640,existing,junior_high,verb,吹く（過去形） / 吹く / 吹く（過去分詞）,4
blue,junior_high,青い,,junior_word_list,65,existing,junior_high,adjective,青い,2
body,junior_high,身体,,junior_word_list,66,existing,junior_high,noun,体,2
boil,junior_high,ゆでる，煮る,,junior_word_list,1307,existing,junior_high,verb,ゆでる・沸く,2
bomb,junior_high,爆弾,,junior_word_list,1308,existing,junior_high,noun,爆弾,2
book,junior_high,本,,junior_word_list,67,existing,junior_high,noun,本,2
bookstore,junior_high,本屋,,junior_word_list,68,existing,junior_high,noun,本屋,2
borrow,junior_high,を借りる,借りる,junior_word_list;high_word_list,69;690;795;1298,existing,junior_high,verb,借りる,2
both,junior_high,両方,,junior_word_list,786,existing,junior_high,adverb,両方とも,2
bother,junior_high,面倒,悩ます,junior_word_list;high_word_list,1311;74,existing,high_school,verb,悩ませる・わざわざ〜する,2
bought,junior_high,買った（過去形）,,junior_word_list,70,existing,junior_high,verb,買う（過去形） / 買う（過去分詞）,2
bowl,junior_high,鉢,,junior_word_list,1312,existing,junior_high,noun,ボウル・鉢,2
box,junior_high,箱,,junior_word_list,71,existing,junior_high,noun,箱,2
boy,junior_high,少年,,junior_word_list,72,existing,junior_high,noun,少年・男の子,2
brain,junior_high,頭脳,頭脳,junior_word_list;high_word_list,1313;188,existing,high_school,noun,脳・頭脳,2
branch,junior_high,枝,,junior_word_list,1314,existing,junior_high,noun,枝・支店,2
brave,junior_high,勇敢な,,junior_word_list,1922,existing,junior_high,adjective,勇敢な,2
bread,junior_high,パン,,junior_word_list,73,existing,junior_high,noun,パン,2
break,junior_high,壊れる，破る,,junior_word_list,1315,existing,junior_high,verb,壊れる・壊す / 壊れる・壊す（過去形） / 壊れる・壊す（過去分詞）,4
breakfast,junior_high,朝食,,junior_word_list,74,existing,junior_high,noun,朝食,2
bridge,junior_high,橋,,junior_word_list,787,existing,junior_high,noun,橋,2
bright,junior_high,明るい,,junior_word_list,788;1317,existing,junior_high,adjective,明るい,2
bring,junior_high,持って来る,,junior_word_list,691,existing,junior_high,verb,持って来る / 持って来る（過去形） / 持って来る（過去分詞）,4
brother,junior_high,兄弟,,junior_word_list,75,existing,junior_high,noun,兄弟・兄・弟,2
brown,junior_high,茶色,,junior_word_list,76;714,existing,junior_high,adjective,茶色の,2
brush,junior_high,をみがく,,junior_word_list,77;1318,existing,junior_high,noun,ブラシ・筆,2
build,junior_high,を建てる,,junior_word_list,78;789,existing,junior_high,verb,建てる・作る / 建てる・作る（過去形） / 建てる・作る（過去分詞）,4
building,junior_high,建物,,junior_word_list,790;1319,existing,junior_high,noun,建物,2
built,junior_high,を建てた,,junior_word_list,791,existing,junior_high,verb,建てる・作る（過去形） / 建てる・作る（過去分詞）,2
burn,junior_high,を燃やす,,junior_word_list,792;1321,existing,high_school,noun,やけど・燃焼,2
business,junior_high,商売,,junior_word_list,793,existing,junior_high,noun,商売・仕事,2
busy,junior_high,忙しい,,junior_word_list,79;718,existing,junior_high,adjective,忙しい,2
but,junior_high,しかし、けれども,,junior_word_list,80;1863,existing,junior_high,conjunction,しかし・だが,2
buy,junior_high,を買う,,junior_word_list,81,existing,junior_high,verb,買う（過去形） / 買う（過去分詞） / 買う,4
by,junior_high,【手段・方法・原因】によって,,junior_word_list,82;83;794;795;796,existing,junior_high,preposition,〜によって・〜のそばに,2
cake,junior_high,ケーキ,,junior_word_list,84,existing,junior_high,noun,ケーキ,2
call,junior_high,に電話をかける,,junior_word_list,799;800,existing,junior_high,verb,呼ぶ・電話をかける,2
calm,junior_high,落ちついた,穏やかな,junior_word_list;high_word_list,1323;2009;2349,existing,junior_high,adjective,落ち着いた,2
came,junior_high,来た（過去形）,,junior_word_list,85,existing,junior_high,verb,来る（過去形）,1
can,junior_high,【能力・可能】することができる,,junior_word_list,86;802;1861,existing,junior_high,auxiliary;noun,〜できる・〜してもよい / 缶 / 〜できない / 〜できた・〜かもしれない・〜していただけますか / 〜できなかった・〜できないだろう,7
candle,junior_high,ろうそく,,junior_word_list,803,existing,junior_high,noun,ろうそく,2
cap,junior_high,帽子,,junior_word_list,88,existing,junior_high,noun,帽子・ふた,2
capital,junior_high,首都,資本,junior_word_list;high_word_list,804;520,existing,junior_high,noun,首都・大文字・資本,2
car,junior_high,自動車,,junior_word_list,89,existing,junior_high,noun,自動車,2
care,junior_high,世話,,junior_word_list,90;805,existing,junior_high,verb;noun,気にする・世話をする / 世話・管理,4
careful,junior_high,注意深い,,junior_word_list,92,existing,junior_high,adjective,注意深い,2
carefully,junior_high,注意深く,,junior_word_list,807;1877,existing,junior_high,adverb,注意深く,2
