expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
country,country,word,国くに,国くに,junior_high,1,5,5;4;3,名詞,5:477;4:418;3:392,3
cow,cow,word,ウシ,ウシ,junior_high,1,5,5;4,,5:73;4:419,2
cup,cup,word,カップ,カップ,junior_high,1,5,5;4,,5:51;4:692,2
cute,cute,word,可愛かわいい,可愛かわいい,junior_high,1,5,5;4,,5:246;4:597,2
date,date,word,日付ひづけ,日付ひづけ,junior_high,1,5,5;4;3,名詞,5:211;4:590;3:446,3
day,day,word,日ひ,日ひ,junior_high,1,5,5;4,,5:56;4:577,2
delicious,delicious,word,おいしい,おいしい / 美味おいしい,junior_high,1,5,5;4;3,形容詞,5:576;4:276;3:65,3
desk,desk,word,机つくえ,机つくえ,junior_high,1,5,5;4,,5:185;4:296,2
dictionary,dictionary,word,辞書じしょ,辞書じしょ,junior_high,1,5,5;4;3,名詞,5:589;4:673;3:120,3
different,different,word,違ちがった,違ちがった,junior_high,1,5,5;4;3,形容詞,5:574;4:61;3:28,3
difficult,difficult,word,難むずかしい,難むずかしい,junior_high,1,5,5;4;3,形容詞,5:568;4:521;3:125,3
dinner,dinner,word,夕食ゆうしょく,夕食ゆうしょく,junior_high,1,5,5;4;3,名詞,5:398;4:421;3:480,3
dish,dish,word,皿さら,皿さら,junior_high,1,5,5;4,,5:197;4:501,2
do,do,word,する,する,junior_high,1,5,5;4,,5:4;4:252,2
doctor,doctor,word,医者いしゃ,医者いしゃ,junior_high,1,5,5;4;3,名詞,5:411;4:364;3:518,3
dog,dog,word,イヌ,イヌ,junior_high,1,5,5;4,,5:67;4:652,2
down,down,word,下したに,下したに,junior_high,1,5,5;4,,5:247;4:433,2
drama,drama,word,劇げき,劇げき,junior_high,1,5,5;4,,5:376;4:685,2
draw,draw,word,描えがく,描えがく / 描く，引っ張る,junior_high,1,5,5;4;3;pre2;2,動詞,5:202;4:106;3:315;pre2:521;2:897,5
dream,dream,word,夢ゆめ,夢ゆめ,junior_high,1,5,5;4,,5:328;4:424,2
drink,drink,word,飲のむ,飲のむ,junior_high,1,5,5;4,,5:271;4:217,2
drum,drum,word,太鼓たいこ,太鼓たいこ,junior_high,1,5,5;4,,5:251;4:392,2
ear,ear,word,耳みみ,耳みみ,junior_high,1,5,5;4,,5:94;4:515,2
easy,easy,word,簡単かんたんな,簡単かんたんな,junior_high,1,5,5;4,,5:175;4:480,2
eat,eat,word,食たべる,食たべる,junior_high,1,5,5;4,,5:44;4:477,2
egg,egg,word,卵たまご,卵たまご,junior_high,1,5,5;4,,5:80;4:527,2
eight,eight,word,8,8,junior_high,1,5,5;4,,5:315;4:371,2
eighteen,eighteen,word,18,18,junior_high,1,5,5;4,,5:516;4:257,2
eighty,eighty,word,80,80,junior_high,1,5,5;4,,5:410;4:449,2
eleven,eleven,word,11,11,junior_high,1,5,5;4,,5:395;4:655,2
enjoy,enjoy,word,楽たのしむ,楽たのしむ,junior_high,1,5,5;4;3,動詞,5:289;4:369;3:12,3
evening,evening,word,夕方ゆうがた,夕方ゆうがた,junior_high,1,5,5;4,,5:489;4:401,2
event,event,word,出来事できごと,出来事できごと,junior_high,1,5,5;4,,5:351;4:211,2
everyone,everyone,word,みんな,みんな,junior_high,1,5,5;4;3,代名詞,5:525;4:278;3:459,3
excuse,excuse,word,許ゆるす,許ゆるす / 言い訳，弁解/を許す,junior_high,1,5,5;4;3;pre2;2,動詞;名詞,5:445;4:612;3:1209;pre2:340;2:175,5
eye,eye,word,目め,目め,junior_high,1,5,5;4,,5:102;4:706,2
