expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
awesome,awesome,word,すばらしい,すばらしい,junior_high,2,3,3,形容詞,3:702,1
bake,bake,word,焼やく,焼やく / 焼く，焼成する,junior_high,2,3,3;2,動詞,3:739;2:2146,2
bakery,bakery,word,パン屋ぱんや,パン屋ぱんや,junior_high,2,3,3,名詞,3:318,1
ban,ban,word,を禁止きんしする,を禁止きんしする / を禁止する/禁止 / を禁止する，を禁制する,junior_high,1,3,3;pre2;2;pre1,動詞,3:833;pre2:648;2:403;pre1:510,4
bank,bank,word,銀行ぎんこう,銀行ぎんこう,junior_high,2,3,3,名詞,3:197,1
barber,barber,word,散髪屋さんぱつや,散髪屋さんぱつや,junior_high,2,3,3,名詞,3:757,1
behavior,behavior,word,ふるまい,ふるまい / 振る舞い，態度,junior_high,1,3,3;pre2;2,名詞,3:1136;pre2:322;2:1037,3
behind,behind,word,背後はいごに,背後はいごに / 背後に，後方に,junior_high,1,3,3;pre2;2,前置詞;副詞,3:563;pre2:36;2:1083,3
belong,belong,word,のものである,のものである / に属する，所属する,junior_high,1,3,3;pre2;2,動詞,3:851;pre2:535;2:1772,3
below,below,word,下したに、下記かきの,下したに、下記かきの,junior_high,2,3,3,副詞,3:293,1
beside,beside,word,横よこに,横よこに / の横に，隣に,junior_high,2,3,3;2,前置詞,3:129;2:1154,2
besides,besides,word,その上うえ，さらに,その上うえ，さらに,junior_high,2,3,3,接続詞,3:1099,1
beyond,beyond,word,を超こえた所ところに,を超こえた所ところに / ～を越えたところに，～を超えた場所に,junior_high,1,3,3;pre2;2,前置詞,3:1043;pre2:432;2:529,3
billion,billion,word,10億おく,10億おく / 10億,junior_high,2,3,3;2,名詞,3:1091;2:2271,2
bit,bit,word,少すこし,少すこし,junior_high,2,3,3,名詞,3:929,1
blind,blind,word,目めの見みえない,目めの見みえない,junior_high,2,3,3,形容詞,3:1178,1
blood,blood,word,血ち,血ち / 血，血液,junior_high,1,3,3;pre2;2,名詞,3:1051;pre2:1159;2:1582,3
blow,blow,word,吹ふく,吹ふく / 吹く，吹き飛ばす,junior_high,1,3,3;pre2;2,動詞,3:866;pre2:185;2:978,3
boil,boil,word,ゆでる、煮にる,ゆでる、煮にる,junior_high,2,3,3,動詞,3:402,1
bomb,bomb,word,爆弾ばくだん,爆弾ばくだん,junior_high,2,3,3,名詞,3:982,1
border,border,word,国境こっきょう,国境こっきょう / 国境，境界,junior_high,1,3,3;2;pre1,名詞,3:746;2:664;pre1:2716,3
born,born,word,生うまれる,生うまれる,junior_high,2,3,3,形容詞,3:754,1
both,both,word,両方りょうほうの,両方りょうほうの,junior_high,2,3,3,形容詞,3:654,1
bother,bother,word,面倒めんどう,面倒めんどう / 面倒，迷惑をかける / 面倒/迷惑をかける,junior_high,1,3,3;pre2;2,動詞,3:706;pre2:37;2:930,3
brain,brain,word,頭脳ずのう,頭脳ずのう / 頭脳，脳,junior_high,1,3,3;pre2;2,名詞,3:742;pre2:229;2:110,3
branch,branch,word,枝えだ,枝えだ,junior_high,2,3,3,名詞,3:782,1
brave,brave,word,勇敢ゆうかんな,勇敢ゆうかんな,junior_high,2,3,3,形容詞,3:985,1
break,break,word,壊こわれる，破やぶる,壊こわれる，破やぶる,junior_high,2,3,3,動詞,3:105,1
burden,burden,word,負担ふたん，重荷おもに,負担ふたん，重荷おもに / 負担，重荷,junior_high,1,3,3;2;pre1,名詞,3:1083;2:594;2:2208;pre1:3127,4
burn,burn,word,を燃もやす,を燃もやす,junior_high,2,3,3,動詞,3:598,1
calligraphy,calligraphy,word,書道しょどう,書道しょどう,junior_high,2,3,3,名詞,3:693,1
calm,calm,word,落おち着ついた,落おち着ついた / 穏やかな，静かな,junior_high,2,3,3;2,形容詞,3:694;2:1883,2
cancer,cancer,word,がん,がん,junior_high,2,3,3,名詞,3:721,1
capture,capture,word,を捕つかまえる,を捕つかまえる / を捕まえる，捉える,junior_high,2,3,3;2,動詞,3:939;2:782,2
care,care,word,注意ちゅういする、世話せわする,注意ちゅういする、世話せわする,junior_high,2,3,3,動詞,3:189,1
celebrate,celebrate,word,祝いわう,祝いわう / 祝う，祝福する,junior_high,1,3,3;pre2;2,動詞,3:345;pre2:1305;2:212,3
century,century,word,世紀せいき,世紀せいき,junior_high,2,3,3,名詞,3:534,1
certain,certain,word,確たしかな,確たしかな / ある，確信している,junior_high,1,3,3;pre2;2,形容詞,3:1037;pre2:320;2:111,3
certainly,certainly,word,確たしかに,確たしかに / 確かに，間違いなく,junior_high,1,3,3;pre2;2,副詞,3:1154;pre2:23;2:216,3
charge,charge,word,を充電じゅうでんする,を充電じゅうでんする / 非難，料金，管理/に請求する,junior_high,1,3,3;pre2;2,動詞;名詞,3:1134;pre2:813;2:375,3
cheap,cheap,word,安やすい,安やすい,junior_high,2,3,3,形容詞,3:46,1
chemical,chemical,word,化学物質かがくぶっしつ,化学物質かがくぶっしつ / 化学物質/化学の,junior_high,1,3,3;pre2;2,名詞,3:936;pre2:190;2:199,3
climate,climate,word,気候きこう,気候きこう / 気候，天候,junior_high,1,3,3;pre2;2,名詞,3:908;pre2:68;2:31,3
coal,coal,word,石炭せきたん,石炭せきたん / 石炭，炭,junior_high,1,3,3;pre2;2,名詞,3:788;pre2:673;2:1979,3
collect,collect,word,集あつめる,集あつめる / 集める，収集する,junior_high,1,3,3;pre2;2,動詞,3:249;pre2:14;2:1736,3
colony,colony,word,植民地しょくみんち,植民地しょくみんち / 植民地，入植地,junior_high,2,3,3;2,名詞,3:1032;2:1494,2
comfortable,comfortable,word,心地ここちの良よい,心地ここちの良よい / 心地の良い，快適な,junior_high,1,3,3;pre2;2,形容詞,3:590;pre2:17;2:1383,3
common,common,word,共通きょうつうの,共通きょうつうの / 共通の，共同の,junior_high,1,3,3;pre2;2,形容詞,3:785;pre2:174;2:14,3
company,company,word,会社かいしゃ,会社かいしゃ / 会社,junior_high,2,3,3;pre2,名詞,3:393;pre2:27,2
complain,complain,word,不満ふまんを言いう,不満ふまんを言いう / 不満を言う，不平を言う,junior_high,1,3,3;pre2;2,動詞,3:554;pre2:204;2:1502,3
condition,condition,word,状況じょうきょう,状況じょうきょう / 状態，条件，情勢,junior_high,1,3,3;pre2;2,名詞,3:1082;pre2:69;2:263,3
consumer,consumer,word,消費者しょうひしゃ,消費者しょうひしゃ / 消費者，利用者,junior_high,1,3,3;pre2;2,名詞,3:1110;pre2:677;2:1301,3
continue,continue,word,続つづく,続つづく / をし続ける，続ける,junior_high,1,3,3;pre2;2,動詞,3:601;pre2:47;2:1827,3
convenient,convenient,word,便利べんりな,便利べんりな / 都合がよい，便利な,junior_high,1,3,3;pre2;2,形容詞,3:874;pre2:1101;2:1463,3
correct,correct,word,正解せいかい,正解せいかい / 正確な/を訂正する,junior_high,1,3,3;pre2;2,形容詞,3:624;pre2:49;2:334,3
cost,cost,word,費用ひよう,費用ひよう,junior_high,2,3,3,名詞,3:254,1
could,could,word,できた,できた,junior_high,2,3,3,助動詞,3:1131,1
countryside,countryside,word,田舎いなか,田舎いなか / 田舎，地方,junior_high,2,3,3;pre1,名詞,3:905;pre1:153,2
courage,courage,word,勇気ゆうき,勇気ゆうき / 勇気，勇猛,junior_high,2,3,3;2,名詞,3:1064;2:1272,2
cousin,cousin,word,いとこ,いとこ,junior_high,2,3,3,名詞,3:210,1
crazy,crazy,word,気きの狂くるった,気きの狂くるった,junior_high,2,3,3,形容詞,3:1024,1
creative,creative,word,創造力そうぞうりょくのある,創造力そうぞうりょくのある / 創造的な，独創的な,junior_high,2,3,3;2,形容詞,3:836;2:1053,2
crowd,crowd,word,群衆ぐんしゅう,群衆ぐんしゅう / 群衆，大衆,junior_high,1,3,3;pre2;2,名詞,3:717;pre2:987;2:1385,3
cry,cry,word,泣なく,泣なく,junior_high,2,3,3,動詞,3:584,1
curious,curious,word,好奇心こうきしんの強つよい,好奇心こうきしんの強つよい / 好奇心が強い，探究心が強い,junior_high,1,3,3;pre2;2,形容詞,3:947;pre2:478;2:1294,3
custom,custom,word,習慣しゅうかん,習慣しゅうかん / 習慣，慣例 / 習慣，慣習,junior_high,1,3,3;pre2;2,名詞,3:709;pre2:582;2:1281;2:2269,4
customer,customer,word,顧客こきゃく,顧客こきゃく / 顧客，お客様,junior_high,1,3,3;pre2;2,名詞,3:239;pre2:1177;2:11,3
daily,daily,word,日常にちじょうの,日常にちじょうの,junior_high,2,3,3,形容詞,3:840,1
dangerous,dangerous,word,危険きけんな,危険きけんな,junior_high,2,3,3,形容詞,3:665,1
daughter,daughter,word,娘むすめ,娘むすめ,junior_high,2,3,3,名詞,3:455,1
dead,dead,word,死しんだ,死しんだ,junior_high,2,3,3,形容詞,3:901,1
death,death,word,死し,死し,junior_high,2,3,3,名詞,3:752,1
debate,debate,word,討論とうろん,討論とうろん / 討論，議論,junior_high,1,3,3;pre2;2,名詞,3:1017;pre2:592;2:1594,3
decision,decision,word,決定けってい,決定けってい / 決定，結論,junior_high,1,3,3;pre2;2,名詞,3:966;pre2:186;2:1422,3
definitely,definitely,word,もちろん、確たしかに,もちろん、確たしかに / 絶対に，確実に / もちろん，確かに,junior_high,1,3,3;pre2;2,副詞,3:802;pre2:363;2:2273,3
depend,depend,word,頼たよる,頼たよる / 依存する，頼る,junior_high,1,3,3;pre2;2,動詞,3:1112;pre2:641;2:1086,3
desert,desert,word,砂漠さばく,砂漠さばく / 砂漠，乾燥地帯,junior_high,1,3,3;pre2;2,名詞,3:846;pre2:1037;2:812,3
design,design,word,を設計せっけいする,を設計せっけいする,junior_high,2,3,3,動詞,3:490,1
destroy,destroy,word,を破壊はかいする,を破壊はかいする / を破壊する，を壊す,junior_high,1,3,3;pre2;2,動詞,3:734;pre2:45;2:1700,3
development,development,word,開発かいはつ,開発かいはつ / 発展，発達，開発,junior_high,1,3,3;pre2;2,名詞,3:931;pre2:501;2:65,3
device,device,word,装置そうち,装置そうち / 装置，仕掛け,junior_high,1,3,3;pre2;2,名詞,3:1158;pre2:578;2:29,3
difference,difference,word,違ちがい,違ちがい / 違い，差分,junior_high,1,3,3;pre2;2,名詞,3:538;pre2:1021;2:1978,3
dirty,dirty,word,汚きたない,汚きたない,junior_high,2,3,3,形容詞,3:228,1
disagree,disagree,word,意見いけんが合あわない,意見いけんが合あわない / 反対する，拒否する,junior_high,2,3,3;2,動詞,3:733;2:1914,2
disaster,disaster,word,災害さいがい,災害さいがい / 災害，災難,junior_high,1,3,3;pre2;2;pre1,名詞,3:1125;pre2:181;2:1196;pre1:2257,4
discrimination,discrimination,word,差別さべつ,差別さべつ / 差別/差別的な,junior_high,1,3,3;2;pre1,名詞,3:924;2:2144;pre1:996,3
discuss,discuss,word,話はなし合あう,話はなし合あう / について議論する，検討する,junior_high,1,3,3;pre2;2,動詞,3:838;pre2:97;2:1853,3
discussion,discussion,word,討論とうろん,討論とうろん / 議論，討論,junior_high,1,3,3;pre2;2,名詞,3:1027;pre2:1113;2:1008,3
disease,disease,word,病気びょうき,病気びょうき / 病気，疾患,junior_high,1,3,3;pre2;2,名詞,3:1128;pre2:358;2:26,3
domestic,domestic,word,国内こくないの,国内こくないの / 国内の，家庭の / 国内の，自国の,junior_high,1,3,3;pre2;2;pre1,形容詞,3:806;pre2:1132;2:951;2:2143;pre1:3358,5
donate,donate,word,を寄付きふする,を寄付きふする / を寄付する，を寄贈する,junior_high,1,3,3;2;pre1,動詞,3:1003;2:2139;pre1:1895,3
drive,drive,word,運転うんてんする,運転うんてんする,junior_high,2,3,3,動詞,3:149,1
drop,drop,word,落おちる,落おちる,junior_high,2,3,3,動詞,3:823,1
earthquake,earthquake,word,地震じしん,地震じしん / 地震,junior_high,2,3,3;pre1,名詞,3:760;pre1:84,2
ecosystem,ecosystem,word,生態系せいたいけい,生態系せいたいけい,junior_high,2,3,3,名詞,3:827,1
effective,effective,word,効果的こうかてきな,効果的こうかてきな / 効果的な，有用な,junior_high,1,3,3;pre2;2,形容詞,3:1076;pre2:1117;2:650,3
electricity,electricity,word,電力でんりょく,電力でんりょく / 電力，電気,junior_high,1,3,3;pre2;2;pre1,名詞,3:855;pre2:1314;2:227;pre1:200,4
electronic,electronic,word,電子でんしの,電子でんしの / 電子の，電子式の,junior_high,1,3,3;pre2;2,形容詞,3:713;pre2:588;2:1460,3
else,else,word,その他たに,その他たに,junior_high,2,3,3,副詞,3:959,1
emergency,emergency,word,緊急事態きんきゅうじたい,緊急事態きんきゅうじたい / 緊急，急ぎ / 緊急事態，緊急,junior_high,1,3,3;pre2;2,名詞,3:758;pre2:38;2:2191,3
employee,employee,word,従業員じゅうぎょういん,従業員じゅうぎょういん / 従業員，社員,junior_high,1,3,3;pre2;2,名詞,3:1183;pre2:462;2:1959,3
encourage,encourage,word,を勇気ゆうきづける,を勇気ゆうきづける / を勇気づける，励ます,junior_high,1,3,3;pre2;2;pre1,動詞,3:749;pre2:689;2:699;pre1:3116,4
endangered,endangered,word,絶滅ぜつめつの危機ききにさらされている,絶滅ぜつめつの危機ききにさらされている / 絶滅の危機にさらされている,junior_high,2,3,3;pre1,形容詞,3:873;pre1:3372,2
enemy,enemy,word,敵てき,敵てき,junior_high,2,3,3,名詞,3:703,1
environment,environment,word,環境かんきょう、状況じょうきょう,環境かんきょう、状況じょうきょう / 環境，状況,junior_high,1,3,3;pre2;2,名詞,3:380;pre2:820;2:3,3
establish,establish,word,を設立せつりつする,を設立せつりつする / を設立する，創設する,junior_high,1,3,3;pre2;2,動詞,3:858;pre2:164;2:253,3
evacuation,evacuation,word,避難ひなん,避難ひなん,junior_high,2,3,3,名詞,3:677,1
everywhere,everywhere,word,どこでも,どこでも,junior_high,2,3,3,副詞,3:211,1
exception,exception,word,例外れいがい,例外れいがい / 例外，特例,junior_high,1,3,3;pre2;2,名詞,3:1152;pre2:1467;2:463,3
exchange,exchange,word,交換こうかん,交換こうかん,junior_high,2,3,3,動詞,3:644,1
expensive,expensive,word,高価こうかな，費用ひようのかかる,高価こうかな，費用ひようのかかる / 高価な，費用のかかる,junior_high,1,3,3;pre2;2,形容詞,3:18;pre2:1020;2:920,3
extend,extend,word,を広ひろげる,を広ひろげる / 延びる，延長する,junior_high,1,3,3;pre2;2,動詞,3:1106;pre2:872;2:1958,3
extinction,extinction,word,絶滅ぜつめつ,絶滅ぜつめつ / 絶滅，消失,junior_high,2,3,3;2,名詞,3:1056;2:1285,2
extinguisher,extinguisher,word,消火器しょうかき,消火器しょうかき,junior_high,2,3,3,名詞,3:986,1
fact,fact,word,事実じじつ、現実げんじつ,事実じじつ、現実げんじつ,junior_high,2,3,3,名詞,3:549,1
fantastic,fantastic,word,素晴すばらしい,素晴すばらしい / 素晴らしい,junior_high,2,3,3;pre1,形容詞,3:1057;pre1:562,2
feather,feather,word,羽はね,羽はね / 羽根，羽毛,junior_high,2,3,3;pre1,名詞,3:1019;pre1:199,2
few,few,word,いくつかの,いくつかの,junior_high,2,3,3,形容詞,3:417,1
fight,fight,word,戦たたかう,戦たたかう,junior_high,2,3,3,動詞,3:707,1
fill,fill,word,いっぱいにする,いっぱいにする,junior_high,2,3,3,動詞,3:723,1
film,film,word,映画えいが,映画えいが,junior_high,2,3,3,名詞,3:1115,1
finally,finally,word,ついに、やっと,ついに、やっと / ついに，やっと,junior_high,2,3,3;2,副詞,3:578;2:868,2
finger,finger,word,指ゆび,指ゆび,junior_high,2,3,3,名詞,3:384,1
fire,fire,word,火事かじ,火事かじ / を首くびにする，解雇かいこする / 首にする，火をつける/火，火事,junior_high,1,3,3;pre2;2,名詞;動詞,3:1175;3:1197;pre2:336;2:1858,4
fix,fix,word,固定こていする,固定こていする / 固定する，固める / 固定する，修理する,junior_high,1,3,3;pre2;2,動詞,3:463;pre2:757;2:1168,3
flat,flat,word,平たいらな,平たいらな,junior_high,2,3,3,形容詞,3:839,1
flavor,flavor,word,風味ふうみ,風味ふうみ / 風味，味,junior_high,1,3,3;pre2;2,名詞,3:591;pre2:76;2:1899,3
flight,flight,word,飛行ひこう,飛行ひこう,junior_high,2,3,3,名詞,3:997,1
focus,focus,word,集中しゅうちゅうする,集中しゅうちゅうする / 焦点，中心,junior_high,1,3,3;pre2;2,動詞;名詞,3:1170;pre2:995;2:1559,3
fold,fold,word,を折おる，折おりたたむ,を折おる，折おりたたむ / 折りたたむ，畳む,junior_high,1,3,3;2;pre1,動詞,3:926;2:1933;pre1:3348,3
foreign,foreign,word,外国がいこくの,外国がいこくの / 外国の，海外の,junior_high,1,3,3;pre2;2,形容詞,3:617;pre2:871;2:1260,3
fortunately,fortunately,word,幸運こううんにも,幸運こううんにも / 運よく，幸いにも,junior_high,2,3,3;pre1,副詞,3:1151;pre1:152,2
forward,forward,word,前まえへ,前まえへ / 前方へ，前に,junior_high,1,3,3;pre2;2,副詞,3:1181;pre2:691;2:1665,3
fresh,fresh,word,新鮮しんせんな,新鮮しんせんな,junior_high,2,3,3,形容詞,3:608,1
functional,functional,word,実用的じつようてきな,実用的じつようてきな / 機能的な，機能上の,junior_high,2,3,3;pre1,形容詞,3:853;pre1:1475,2
garden,garden,word,庭にわ,庭にわ,junior_high,2,3,3,名詞,3:54,1
gas,gas,word,ガソリン,ガソリン,junior_high,2,3,3,名詞,3:728,1
gentle,gentle,word,優やさしい,優やさしい / 穏やかな，物柔らかな,junior_high,1,3,3;pre2;2,形容詞,3:684;pre2:566;2:997,3
glad,glad,word,うれしい,うれしい,junior_high,2,3,3,形容詞,3:292,1
god,god,word,神かみ,神かみ,junior_high,2,3,3,名詞,3:1177,1
government,government,word,政府せいふ,政府せいふ / 政府，行政府，内閣,junior_high,1,3,3;pre2;2,名詞,3:904;pre2:50;2:44,3
grade,grade,word,評価ひょうか,評価ひょうか,junior_high,2,3,3,名詞,3:587,1
graduate,graduate,word,卒業そつぎょうする,卒業そつぎょうする / を卒業する，を修了する,junior_high,1,3,3;pre2;2,動詞,3:661;pre2:985;2:231,3
graduation,graduation,word,卒業そつぎょう,卒業そつぎょう,junior_high,2,3,3,名詞,3:1092,1
growth,growth,word,増加ぞうか,増加ぞうか,junior_high,2,3,3,名詞,3:969,1
gym,gym,word,体育館たいいくかん,体育館たいいくかん,junior_high,2,3,3,名詞,3:875,1
habit,habit,word,習慣しゅうかん,習慣しゅうかん / 習慣，慣行 / 習慣，慣習,junior_high,1,3,3;pre2;2,名詞,3:755;pre2:638;2:665;2:2124,4
handle,handle,word,を処理しょりする,を処理しょりする / を手で扱う，に対処する/取っ手,junior_high,1,3,3;pre2;2,動詞,3:428;pre2:628;2:262,3
headache,headache,word,頭痛ずつう,頭痛ずつう / 頭痛,junior_high,2,3,3;pre1,名詞,3:470;pre1:198,2
healthy,healthy,word,健康けんこうな,健康けんこうな,junior_high,2,3,3,形容詞,3:111,1
heat,heat,word,熱ねつ,熱ねつ,junior_high,2,3,3,名詞,3:1095,1
heaven,heaven,word,天国てんごく,天国てんごく,junior_high,2,3,3,名詞,3:671,1
heavy,heavy,word,重おもい,重おもい,junior_high,2,3,3,形容詞,3:92,1
himself,himself,word,彼自身かれじしんを,彼自身かれじしんを,junior_high,2,3,3,代名詞,3:1199,1
hit,hit,word,打うつ,打うつ,junior_high,2,3,3,動詞,3:222,1
hole,hole,word,穴あな,穴あな,junior_high,2,3,3,名詞,3:381,1
holy,holy,word,神聖しんせいな,神聖しんせいな / 神聖な，聖なる,junior_high,2,3,3;2,形容詞,3:912;2:2226,2
honey,honey,word,蜂蜜はちみつ,蜂蜜はちみつ,junior_high,2,3,3,名詞,3:1120,1
hopeful,hopeful,word,希望きぼうを持もっている,希望きぼうを持もっている,junior_high,2,3,3,形容詞,3:842,1
horizon,horizon,word,地平線ちへいせん、水平線すいへいせん,地平線ちへいせん、水平線すいへいせん / 地平線，水平線,junior_high,2,3,3;pre1,名詞,3:338;pre1:94,2
horror,horror,word,恐怖きょうふ,恐怖きょうふ / 恐怖，怖さ,junior_high,1,3,3;pre2;2,名詞,3:499;pre2:401;2:1070,3
however,however,word,しかし,しかし / しかしながら，どんなに～でも,junior_high,1,3,3;pre2;2,接続詞;副詞,3:616;pre2:13;2:2,3
hurt,hurt,word,を傷きずつける,を傷きずつける / を傷つける,junior_high,2,3,3;pre2,動詞,3:118;pre2:52,2
husband,husband,word,夫おっと,夫おっと,junior_high,2,3,3,名詞,3:283,1
illegal,illegal,word,違法いほうな,違法いほうな / 違法の，不正な / 違法な，不法な,junior_high,1,3,3;pre2;2;pre1,形容詞,3:712;pre2:1179;2:1147;pre1:1152,4
illiterate,illiterate,word,読よみ書かきのできない,読よみ書かきのできない / 読み書きのできない / 文盲の,junior_high,1,3,3;pre1;1,形容詞,3:828;pre1:3318;1:3080,3
image,image,word,画像がぞう，印象いんしょう,画像がぞう，印象いんしょう,junior_high,2,3,3,名詞,3:1143,1
imagine,imagine,word,を想像そうぞうする,を想像そうぞうする,junior_high,2,3,3,動詞,3:332,1
import,import,word,を輸入ゆにゅうする,を輸入ゆにゅうする / 輸入する，直輸入する,junior_high,1,3,3;pre2;2,動詞,3:1007;pre2:194;2:1869,3
include,include,word,を含ふくむ,を含ふくむ / を含む，内包する,junior_high,1,3,3;pre2;2,動詞,3:974;pre2:555;2:789,3
increase,increase,word,を増ふやす，増大ぞうだいさせる,を増ふやす，増大ぞうだいさせる / を増やす，増大させる,junior_high,1,3,3;pre2;2,動詞,3:879;pre2:697;2:203,3
independence,independence,word,独立どくりつ,独立どくりつ / 独立，自立,junior_high,2,3,3;pre2,名詞,3:683;pre2:755,2
information,information,word,情報じょうほう,情報じょうほう / 情報,junior_high,2,3,3;pre2,名詞,3:171;pre2:7,2
injure,injure,word,を傷きずつける,を傷きずつける / を傷つける,junior_high,2,3,3;pre1,動詞,3:496;pre1:206,2
instead,instead,word,そのかわりに,そのかわりに / 代わりに，その代わり,junior_high,1,3,3;pre2;2;pre1,副詞,3:51;pre2:19;2:5;pre1:145,4
instruction,instruction,word,指示しじ,指示しじ / 指示，指導,junior_high,1,3,3;pre2;2,名詞,3:913;pre2:737;2:425,3
interest,interest,word,興味きょうみ,興味きょうみ,junior_high,2,3,3,名詞,3:618,1
international,international,word,国際的こくさいてきな,国際的こくさいてきな / 国際的な，国際レベルの,junior_high,1,3,3;pre2;2,形容詞,3:285;pre2:424;2:1140,3
invent,invent,word,を発明はつめいする,を発明はつめいする / を発明する，創造する,junior_high,1,3,3;pre2;2,動詞,3:191;pre2:734;2:698,3
inventor,inventor,word,発明家はつめいか,発明家はつめいか,junior_high,2,3,3,名詞,3:753,1
iron,iron,word,鉄てつ,鉄てつ,junior_high,2,3,3,名詞,3:987,1
jewel,jewel,word,宝石ほうせき,宝石ほうせき,junior_high,2,3,3,名詞,3:897,1
judge,judge,word,審判員しんぱんいん,審判員しんぱんいん / を判断する/裁判官,junior_high,1,3,3;pre2;2,名詞;動詞,3:552;pre2:87;2:1913,3
keep,keep,word,を保たもつ,を保たもつ,junior_high,2,3,3,動詞,3:257,1
late,late,word,遅おそい,遅おそい,junior_high,2,3,3,形容詞,3:259,1
later,later,word,後のちに,後のちに / 後に，以後,junior_high,1,3,3;pre2;2,副詞,3:70;pre2:386;2:1017,3
latest,latest,word,最新さいしんの,最新さいしんの / 最新の，最先端の,junior_high,2,3,3;2,形容詞,3:714;2:1488,2
lawyer,lawyer,word,弁護士べんごし,弁護士べんごし / 弁護士，法律家,junior_high,2,3,3;2,名詞,3:1190;2:2112,2
lazy,lazy,word,怠なまけ者ものの,怠なまけ者ものの / 怠け者の，ぐうたらの,junior_high,2,3,3;2,形容詞,3:923;2:747,2
lead,lead,word,を導みちびく,を導みちびく,junior_high,2,3,3,動詞,3:885,1
let,let,word,～に～をさせる,～に～をさせる,junior_high,2,3,3,動詞,3:892,1
letter,letter,word,手紙てがみ,手紙てがみ,junior_high,2,3,3,名詞,3:408,1
lip,lip,word,唇くちびる,唇くちびる,junior_high,2,3,3,名詞,3:769,1
little,little,word,ほとんど～ない,ほとんど～ない / 小ちいさい，かわいい,junior_high,2,3,3,形容詞,3:816;3:1103,2
local,local,word,地元じもとの,地元じもとの,junior_high,2,3,3,形容詞,3:376,1
loss,loss,word,失うしなうこと，喪失そうしつ,失うしなうこと，喪失そうしつ,junior_high,2,3,3,名詞,3:1118,1
lullaby,lullaby,word,子守歌こもりうた,子守歌こもりうた,junior_high,2,3,3,名詞,3:1018,1
manager,manager,word,部長ぶちょう,部長ぶちょう / 部長，支配人,junior_high,1,3,3;pre2;2,名詞,3:602;pre2:792;2:983,3
match,match,word,試合しあい,試合しあい / 試合，競技,junior_high,1,3,3;pre2;2,名詞,3:1042;pre2:756;2:1776,3
matter,matter,word,問題もんだい、困こまったこと,問題もんだい、困こまったこと / 問題，困ったこと,junior_high,1,3,3;pre2;2,名詞,3:568;pre2:1182;2:605,3
maybe,maybe,word,たぶん,たぶん / たぶん，おそらく,junior_high,1,3,3;pre2;2,副詞,3:116;pre2:1079;2:1917,3
meant,meant,word,意味いみした,意味いみした,junior_high,2,3,3,動詞,3:1135,1
merchant,merchant,word,商人しょうにん,商人しょうにん / 商人，販売者,junior_high,1,3,3;pre2;2,名詞,3:1086;pre2:380;2:1557,3
metal,metal,word,金属きんぞく,金属きんぞく / 金属，合金,junior_high,1,3,3;pre2;2,名詞,3:1030;pre2:1250;2:94,3
midnight,midnight,word,真夜中まよなか,真夜中まよなか,junior_high,2,3,3,名詞,3:1109,1
mind,mind,word,精神せいしん,精神せいしん,junior_high,2,3,3,名詞,3:1174,1
mirror,mirror,word,鏡かがみ,鏡かがみ,junior_high,2,3,3,名詞,3:364,1
modern,modern,word,現代的げんだいてきな,現代的げんだいてきな / 現代的な，現代の,junior_high,1,3,3;pre2;2,形容詞,3:1039;pre2:59;2:45,3
moment,moment,word,瞬間しゅんかん,瞬間しゅんかん / 瞬間，瞬時,junior_high,1,3,3;pre2;2,名詞,3:535;pre2:653;2:1957,3
monthly,monthly,word,月つきに1回かいの,月つきに1回かいの,junior_high,2,3,3,形容詞,3:868,1
more,more,word,もっと,もっと,junior_high,2,3,3,副詞,3:436,1
most,most,word,たいていの，大部分だいぶぶんの,たいていの，大部分だいぶぶんの,junior_high,2,3,3,形容詞,3:808,1
move,move,word,動うごく、引ひっ越こす,動うごく、引ひっ越こす,junior_high,2,3,3,動詞,3:453,1
narrow,narrow,word,狭せまい,狭せまい / 幅が狭い，細い,junior_high,1,3,3;pre2;2,形容詞,3:655;pre2:90;2:1666,3
national,national,word,国家こっかの,国家こっかの / 国の，国民の,junior_high,1,3,3;pre2;2,形容詞,3:886;pre2:750;2:1470,3
necessary,necessary,word,必要ひつような,必要ひつような / 必要な,junior_high,2,3,3;pre2,形容詞,3:1104;pre2:1167,2
neighbor,neighbor,word,隣人りんじん,隣人りんじん / 隣人，近隣住民,junior_high,2,3,3;2,名詞,3:1062;2:1371,2
neither,neither,word,～も～もない,～も～もない,junior_high,2,3,3,副詞,3:1012,1
nervous,nervous,word,あがっている,あがっている / 神経質な，びくびくして,junior_high,1,3,3;pre2;2,形容詞,3:81;pre2:96;2:1628,3
noisy,noisy,word,騒がしいさわがしい,騒がしいさわがしい,junior_high,2,3,3,形容詞,3:545,1
noon,noon,word,正午しょうご,正午しょうご,junior_high,2,3,3,名詞,3:76,1
note,note,word,紙幣しへい,紙幣しへい,junior_high,2,3,3,名詞,3:1021,1
notice,notice,word,気きづく,気きづく / 気づく/通知,junior_high,1,3,3;pre2;2,動詞,3:248;pre2:79;2:1115,3
nuclear,nuclear,word,核かくの、原子力げんしりょくの,核かくの、原子力げんしりょくの / 核の，中心の,junior_high,1,3,3;pre2;2,形容詞,3:730;pre2:899;2:1785,3
